Karkkila Kaikki (AAA-ÖÖÖ) 15.8.2025 pe 08.45 Karkkilan kaupungin palvelukeskus, Nyhkäläntie 39, Karkkila
Siuntio Kaikki (AAA-ÖÖÖ) 18.8.2025 ma 08.45 Arena Siuntio, Aleksis Kiven tie 7, Siuntio
Inkoo Kaikki (AAA-ÖÖÖ) 18.8.2025 ma 08.45 Arena Siuntio, Aleksis Kiven tie 7, Siuntio
Raasepori AAA-NYH 19.8.2025 ti 08.45 Tammisaaren nuorisotalo, Ystadinkatu 14, Raasepori
Raasepori NYI-ÖÖÖ 20.8.2025 ke 08.45 Tammisaaren nuorisotalo, Ystadinkatu 14, Raasepori
Hanko Kaikki (AAA-ÖÖÖ) 21.8.2025 to 08.45 Hangon kaupungintalo, Bulevardi 6, Hanko
Pukkila Kaikki (AAA-ÖÖÖ) 22.8.2025 pe 08.45 Pukkilan nuorisoseurantalo, Veteraanitie 9, Pukkila
Myrskylä Kaikki (AAA-ÖÖÖ) 22.8.2025 pe 08.45 Pukkilan nuorisoseurantalo, Veteraanitie 9, Pukkila
Sipoo AAA-MIE 25.8.2025 ma 08.45 Nikkilän Juhlatalo, Vanha vesitorninmäki 1, Sipoo
Sipoo MIF-ÖÖÖ 26.8.2025 ti 08.45 Nikkilän Juhlatalo, Vanha vesitorninmäki 1, Sipoo
Porvoo AAA-PAT 27.8.2025 ke 08.45 Gammelbackan seurakuntakeskus, Viertotie 1, Porvoo
Porvoo PAU-ÖÖÖ 28.8.2025 to 08.45 Gammelbackan seurakuntakeskus, Viertotie 1, Porvoo
Porvoo, ruotsinkieliset Kaikki (AAA-ÖÖÖ) 29.8.2025 pe 08.45 Gammelbackan seurakuntakeskus, Viertotie 1, Porvoo
Hyvinkää AAA-KOR 1.9. 2025 ma 08.45 Hyvinkään seurakuntakeskus, Hämeenkatu 16, Hyvinkää
Hyvinkää KOS-PEN 2.9. 2025 ti 08.45 Hyvinkään seurakuntakeskus, Hämeenkatu 16, Hyvinkää
Hyvinkää PEO-ÖÖÖ 3.9.2025 ke 08.45 Hyvinkään seurakuntakeskus, Hämeenkatu 16, Hyvinkää
Mäntsälä AAA-NIE 4.9. 2025 to 08.45 Mäntsälän kunnantalo, Heikinkuja 4, Mäntsälä
Mäntsälä NIF-ÖÖÖ 5.9. 2025 pe 08.45 Mäntsälän kunnantalo, Heikinkuja 4, Mäntsälä
