Loviisa – Lapinjärvi AAA – ÖÖÖ 15.08.2023 ti 08:50 Loviisan liikuntahalli, Brandensteininkatu 29, Loviisa
Porvoo AAA – JÅF 16.08.2023 ke 08:50 Gammelbackan seurakuntakeskus, Viertotie 1, Porvoo
Porvoo JÅG – PAA 17.08.2023 to 08:50 Gammelbackan seurakuntakeskus, Viertotie 1, Porvoo
Porvoo PAB – ÖÖÖ 18.08.2023 pe 08:50 Gammelbackan seurakuntakeskus, Viertotie 1, Porvoo
Siuntio – Inkoo AAA – ÖÖÖ 22.08.2023 ti 08:50 Fennia Arena, Aleksis Kiven tie 7, Siuntio
Hanko AAA – ÖÖÖ 23.08.2023 ke 08:50 Kaupungintalon juhlatilat, Vuorikatu 1, Hanko
Raasepori AAA – KUP 24.08.2023 to 08:50 Tammisaaren nuorisotalo, Ystadinkatu 14, Raasepori
Raasepori KUQ – ÖÖÖ 25.08.2023 pe 08:50 Tammisaaren nuorisotalo, Ystadinkatu 14, Raasepori
Hyvinkää AAA – LAA 28.08.2023 ma 08:50 Seurakuntakeskus, Hämeenkatu 16, Hyvinkää
Hyvinkää LAB – RAA 29.08.2023 ti 08:50 Seurakuntakeskus, Hämeenkatu 16, Hyvinkää
Hyvinkää RAB – ÖÖÖ 30.08.2023 ke 08:50 Seurakuntakeskus, Hämeenkatu 16, Hyvinkää
Tuusula AAA – LAA 31.08.2023 to 08:50 Puolustusvoimien Kurssikeskus, Rantatie 66, Tuusula
Tuusula LAB – SAA 01.09.2023 pe 08:50 Puolustusvoimien Kurssikeskus, Rantatie 66, Tuusula
Tuusula SAB – ÖÖÖ 04.09.2023 ma 08:50 Puolustusvoimien Kurssikeskus, Rantatie 66, Tuusula
Järvenpää AAA – MÄL 05.09.2023 ti 08:50 Puolustusvoimien Kurssikeskus, Rantatie 66, Tuusula
Järvenpää MÄM – ÖÖÖ 06.09.2023 ke 08:50 Puolustusvoimien Kurssikeskus, Rantatie 66, Tuusula
Kerava AAA – LEH 07.09.2023 to 08:50 Puolustusvoimien Kurssikeskus, Rantatie 66, Tuusula
Kerava LEI – ÖÖÖ 08.09.2023 pe 08:50 Puolustusvoimien Kurssikeskus, Rantatie 66, Tuusula
Pukkila – Myrskylä AAA – ÖÖÖ 12.09.2023 ti 08:50 Pukkilan Nuorisoseurantalo, Veteraanitie 9, Pukkila
Karkkila AAA – ÖÖÖ 14.09.2023 to 08:50 Työväentalo Karkkila, Vihdintie 2, Karkkila
Mäntsälä AAA – LII 27.09.2023 ke 08:50 Kunnantalo, Heikinkuja 4, Mäntsälä
Mäntsälä LIJ – ÖÖÖ 28.09.2023 to 08:50 Kunnantalo, Heikinkuja 4, Mäntsälä
